1,คนนี้หล่อจัง ตอบว่าอะไรดีนะ,"1,2,3",0,1
2,เขาถามว่าเมื่อคืนเป็นไงบ้าง,"4,5,6",0,2
3,สองคนนั้นคุยกันอีกละ,"7,8,9",0,6
4,A ต้องชวนไปกินข้าวด้วยเเน่เลย ชวนก่อนดีมั้ยนะ,"10,11,12",0,6
5,ไปดีมั้ยนะ,"13,14,15",0,7
6,ไปนั่งด้วยหรอ,"16,17,18",0,8
7,ปลุกดีมั้ยนะ,"19,20,21",0,3
8,ต้องเป็นผู้หญิงทักมาแน่เลย,"22,23,24",0,3
9,ไปร้านกาแฟดีมั้ยนะ,"25,26,27",0,2
10,ตอบว่าไรดีนะ,"28,29,30",0,9
11,ไปดีีมั้ยนะ,"31,32,33",0,1
12,แกนจะชอบหนังแนวไหนนะ,"34,35,36",0,10
13,ไปกินหมูกระทะดีมั้ยนะ,"37,38,39",0,3
14,เข้าไปดีมั้ยนะ,"40,41,42",0,12
15,เขาขอเป็นแฟน ตอบว่าไรดีนะ,"43,44,45",0,13
